ps,12.6,8.5,12.6,10.4,12.8,16.7,19.9,19.5,15.1,13.2,13.9,12.3,24.2,20.6,13.8,21.5,17.5,28.9,29.2,27.9,27.4,26.2,30.1,27.6,27.9,29.8,29.1,29.9,30.6,27.7,27.0,27.3,26.2,27.5,29.5,29.6,32.1,34.2,35.5,36.8,36.1,38.1,37.8,35.6,37.2,37.2,39.9,41.0,37.9,38.8,35.0,37.2,38.3,36.5,38.6,38.0,41.7,42.6,46.2,47.0,47.4,47.5,46.7,45.2,46.2,46.4,45.9,49.8,51.1,56.3,54.7,59.0,55.5,56.3,62.6,60.6,59.5,59.9,61.6,66.5,72.2,69.9,74.0,75.9,74.2,76.8,68.8,71.9,67.4,70.6,82.5,83.7,88.3,95.4,102.7,103.9,107.7,114.2,113.7,112.1,107.4,102.4,108.7,127.6,121.7,132.7,136.6,152.3,148.7,139.6,140.2,156.5,148.6,188.5,158.9,160.1,156.3,154.8,155.4,151.0,141.9,150.4,160.4,171.1,177.6,167.6,176.5,178.5,194.8,184.9,182.1,185.4,197.0,225.0,234.8,242.8,235.6,239.8,280.5,298.3,290.1,298.9,301.0,274.8,279.1,253.2,252.8,273.5,309.1,321.7,341.3,333.1,278.8,314.8,255.0,283.2,302.3,310.4,279.5,262.7,290.0,216.9,244.5,290.9,295.6,316.2,328.5,328.2,354.6,327.4,320.0,339.7,348.4,372.3,361.1,360.7,388.7,391.2,391.6,432.3,453.3,472.9,447.5,428.3,430.4,409.4,367.1,363.5,344.6,358.4,351.1,374.7,406.9,372.3,373.4,363.5,371.2,366.6,377.3,364.6,362.0,384.6,359.5,381.0,451.7,435.5,423.3,387.9,400.6,304.7,282.8,275.2,296.7,315.1,336.3,319.1,358.5,341.6,494.4,258.0,437.0,474.8,441.5,453.1,425.7,430.2,469.9,433.8,402.1,447.4,405.7,413.0,229.3,207.0,167.2,233.2,309.9,293.8,241.9,258.3,279.5,296.3,249.8,228.1,300.7,512.4,386.3,606.4,616.4,743.2,552.5,587.7,601.8,702.7,696.7,684.4,773.7,749.3,785.9,796.2,909.7,974.1,859.9,1162.5,590.0,650.8,652.2,569.8,667.9,715.1,714.9,750.1,828.3,781.4,766.0,786.6,808.1,726.5,713.3,736.9,789.0,872.1,883.0,822.5,880.2,940.0,1028.5,1138.0,1316.6,1178.1,1117.2,1100.7,1482.3,4429.8,2635.8,2088.2,3867.9,1836.8,1520.4,1157.7,604.1,401.0,592.7,666.6,950.7,1033.1,942.9,942.2,1148.1,1131.4
gs,2.6,2.3,-0.3,5.5,4.8,2.7,-1.1,-2.2,-5.4,-8.6,-8.7,-9.1,-11.6,-0.8,10.4,10.8,14.5,6.6,0.9,2.4,3.0,-1.1,-2.6,-0.2,0.2,-0.5,-0.3,-6.8,-7.3,-6.3,-5.8,-4.4,-1.2,1.5,1.8,4.5,5.2,3.8,4.3,4.3,3.7,1.3,0.9,-5.8,-9.2,-14.1,-11.6,-8.6,-3.2,0.1,-1.8,-2.4,7.3,3.7,2.1,-2.4,-2.6,-4.5,-2.5,-0.5,-2.6,-2.9,-1.5,-2.3,-0.5,2.0,1.9,1.1,-1.5,-6.3,-2.7,-1.4,2.5,1.6,-5.7,-5.8,0.6,-0.7,-2.9,-6.0,-14.7,-16.5,-15.4,-15.5,-13.5,-14.4,-6.9,-6.5,5.0,1.4,-5.1,-9.4,-19.3,-30.4,-38.2,-45.6,-47.4,-53.8,-53.5,-54.1,-45.4,-42.0,-40.7,-43.6,-31.5,-35.0,-32.9,-31.4,-35.2,-38.8,-38.9,-61.8,-88.6,-143.7,-100.6,-101.7,-88.6,-82.0,-86.0,-84.8,-76.1,-68.2,-72.1,-75.3,-77.9,-52.7,-54.0,-44.2,-45.2,-44.1,-48.8,-56.2,-69.7,-102.3,-111.4,-95.4,-78.8,-88.0,-97.3,-128.9,-156.6,-164.8,-203.0,-236.0,-238.4,-223.4,-233.5,-207.1,-183.7,-188.3,-202.6,-212.1,-170.4,-222.1,-203.9,-210.1,-204.7,-232.8,-234.8,-207.4,-216.0,-150.6,-171.0,-182.9,-180.0,-173.8,-160.8,-170.4,-148.8,-174.4,-184.7,-206.9,-223.6,-240.4,-238.0,-256.2,-240.8,-305.1,-331.6,-356.6,-390.9,-398.0,-420.3,-413.1,-419.6,-384.8,-393.9,-346.3,-335.6,-304.9,-314.2,-324.7,-321.7,-326.3,-318.7,-285.0,-281.8,-238.5,-223.0,-191.2,-169.7,-150.4,-106.4,-111.1,-55.7,-45.1,-12.2,-4.2,12.0,23.3,31.3,51.2,147.8,119.4,112.1,93.6,47.8,-12.7,-260.0,-194.1,-392.2,-448.0,-462.4,-503.1,-544.0,-584.1,-637.3,-552.3,-587.6,-561.1,-517.5,-507.0,-409.4,-414.2,-408.6,-357.6,-312.2,-297.4,-307.6,-314.4,-322.0,-335.8,-419.5,-482.8,-574.0,-944.2,-868.2,-1001.7,-1432.4,-1636.8,-1664.2,-1608.5,-1679.3,-1660.2,-1600.9,-1568.8,-1525.4,-1533.2,-1508.1,-1478.1,-1391.9,-1376.6,-1376.2,-1285.2,-1034.7,-776.7,-982.2,-806.1,-813.3,-804.0,-859.5,-849.5,-804.1,-777.6,-814.6,-699.7,-883.6,-916.0,-919.3,-919.0,-948.8,-986.6,-970.8,-940.3,-1050.2,-1110.1,-1091.8,-1172.8,-1235.3,-1213.4,-1282.5,-1267.1,-1334.2,-4975.6,-3558.2,-2100.0,-4300.5,-2594.1,-2074.8,-1404.3,-733.0,-754.9,-1007.8,-1232.2,-1682.5,-1729.3,-1770.0,-1730.1,-1799.9,-1857.2
ni,12.7,10.9,11.5,19.6,24.1,27.5,29.6,28.7,21.1,15.3,19.2,16.9,25.0,30.6,36.8,45.9,43.2,48.3,44.9,42.1,42.7,37.1,41.1,44.3,45.7,46.0,44.6,38.0,37.2,35.7,37.4,39.6,45.4,49.3,49.7,52.5,51.7,50.1,51.2,49.8,50.2,49.2,50.5,41.4,36.9,35.0,42.0,50.5,54.9,60.4,54.0,55.1,64.6,54.7,55.0,44.0,48.5,52.4,59.8,62.8,67.3,65.0,66.7,62.8,66.4,67.7,71.9,72.8,75.6,75.3,76.3,77.5,87.1,86.8,91.3,92.7,103.8,101.1,101.1,103.8,100.4,91.7,96.1,99.0,101.1,106.5,100.7,102.9,113.4,108.9,111.2,99.3,94.9,95.0,95.8,86.3,102.9,108.1,110.9,103.8,117.0,128.8,129.6,135.9,150.0,158.3,147.7,159.5,145.0,151.3,138.0,140.9,98.6,86.7,108.6,118.7,145.6,154.6,154.3,156.1,174.2,198.3,214.0,213.3,216.7,253.5,270.1,286.7,280.8,289.0,290.7,283.0,283.5,233.0,194.1,239.9,300.2,274.7,303.5,287.0,216.6,216.1,207.6,163.7,177.9,221.8,260.6,324.0,392.7,416.9,429.4,420.5,394.5,410.9,403.2,428.9,424.3,409.8,390.6,383.2,406.2,404.3,398.7,456.5,398.3,415.0,408.7,421.4,450.9,436.6,426.6,413.4,427.7,420.8,397.3,335.3,296.7,293.6,305.7,328.1,308.2,355.0,354.9,377.4,386.2,390.1,377.8,426.7,452.1,508.3,491.5,528.3,535.4,498.6,479.6,497.5,516.6,568.6,613.5,608.2,628.4,683.0,708.9,711.2,762.2,736.8,777.0,807.7,851.4,827.6,853.1,894.2,860.8,955.5,921.2,926.6,805.8,797.9,736.8,648.4,709.8,722.5,715.9,716.3,722.3,721.9,787.7,856.9,854.4,942.3,973.2,1012.6,1076.0,1037.7,1058.7,1135.3,1179.0,1154.0,1118.4,1059.4,1023.9,1047.9,1016.3,961.0,855.6,821.0,759.9,556.5,267.5,141.1,127.4,269.2,296.8,414.1,494.1,473.3,408.1,470.0,470.4,630.8,656.3,700.1,673.4,639.1,712.5,715.4,802.0,804.3,739.7,863.2,914.4,925.2,1004.7,1010.9,1004.5,959.8,931.7,898.1,888.2,961.4,936.9,978.7,1012.7,1072.2,1108.7,1099.1,1194.8,1168.6,1196.5,1208.2,1220.5,1135.4,1038.8,486.2,1083.9,1192.3,1137.2,1026.1,1145.4,1413.7,1488.6,1385.4,1312.1,1394.2,1280.4,1338.3,1447.8,1467.8,1486.7,1577.7
fi,9.4,9.9,10.1,7.8,4.9,3.0,0.9,0.8,2.2,1.7,0.6,-1.0,-1.0,-1.2,-2.7,-2.5,-1.7,0.4,2.2,2.7,3.5,1.1,-1.1,-1.2,-1.3,-1.8,-1.2,-0.9,-0.5,0.3,-0.1,0.9,0.5,-0.2,0.8,0.4,0.9,2.2,3.0,4.5,5.6,4.8,4.9,3.6,1.5,0.8,1.0,-0.1,-1.4,-2.9,0.0,-0.8,1.9,1.7,4.2,4.9,5.4,3.2,4.3,3.9,3.1,3.7,4.8,3.6,4.0,4.3,5.2,6.3,8.2,6.0,8.1,7.6,5.7,6.3,6.6,6.1,4.6,3.3,3.2,4.1,4.3,3.3,3.6,2.8,1.6,2.0,1.8,0.7,1.7,0.5,1.7,2.5,3.9,5.0,3.7,2.2,4.5,-0.1,0.0,-3.1,-5.0,-4.8,-3.6,-2.8,2.2,5.4,12.5,15.4,16.5,2.7,0.3,4.4,17.9,21.5,18.4,21.6,13.2,9.0,2.4,3.8,-8.0,-8.8,-7.9,-18.9,-25.0,-12.9,-11.4,-1.3,-1.8,-2.7,2.4,-2.6,-10.7,9.8,28.2,6.7,1.7,0.2,7.1,4.6,0.7,17.4,-14.0,-17.3,-7.9,-27.6,-47.9,-56.8,-78.5,-87.9,-90.4,-103.4,-89.4,-111.4,-121.3,-135.2,-128.3,-141.9,-150.2,-150.3,-150.9,-154.4,-154.1,-157.0,-126.9,-110.0,-106.5,-119.6,-106.7,-93.6,-81.7,-87.5,-90.0,-72.9,-82.4,-54.3,46.6,14.8,-13.0,-16.8,-21.8,-39.4,-52.7,-68.4,-57.3,-74.5,-77.4,-108.3,-93.0,-109.2,-121.7,-138.5,-119.2,-119.4,-99.8,-85.1,-102.9,-109.3,-133.5,-114.3,-132.0,-101.9,-122.8,-163.8,-164.9,-196.1,-224.6,-235.8,-234.2,-262.2,-293.4,-316.7,-370.5,-379.5,-416.8,-420.7,-423.7,-379.1,-412.1,-350.8,-404.4,-456.4,-461.7,-499.2,-546.4,-526.0,-526.7,-511.5,-548.9,-624.5,-649.3,-728.3,-688.7,-722.2,-754.7,-839.1,-801.8,-828.8,-875.8,-770.9,-805.5,-778.7,-709.0,-670.3,-735.6,-731.3,-719.0,-631.1,-403.2,-354.5,-366.6,-408.1,-421.6,-444.1,-472.7,-420.8,-476.6,-477.9,-436.4,-450.4,-467.3,-445.7,-397.9,-385.1,-381.2,-376.7,-352.5,-294.4,-371.6,-345.3,-356.0,-427.5,-418.9,-405.4,-454.2,-413.8,-428.1,-397.2,-392.8,-387.3,-359.2,-428.2,-349.7,-374.9,-391.9,-376.7,-484.5,-511.6,-463.2,-477.3,-446.5,-402.0,-390.3,-518.5,-655.9,-726.9,-779.1,-862.1,-945.1,-931.2,-1139.6,-1065.4,-959.8,-919.0,-929.3,-917.6,-916.3,-900.3,-972.7,-1061.3
nd,6.1,6.4,6.6,6.6,7.2,6.8,7.3,7.6,7.4,7.4,7.3,7.6,8.5,8.6,9.4,9.7,8.6,8.9,8.8,9.0,8.4,9.0,8.9,9.1,8.8,9.5,9.4,9.2,9.7,9.2,9.6,9.7,10.3,10.4,11.0,11.2,11.5,11.6,11.6,12.0,12.1,12.3,12.5,12.3,12.1,12.2,12.1,11.8,12.8,13.2,13.8,14.1,14.1,14.2,14.4,14.3,14.3,14.3,14.6,15.2,15.3,15.8,16.0,16.2,16.6,16.9,17.2,17.7,19.0,19.6,20.0,20.5,20.4,21.2,21.9,22.6,22.7,22.5,22.2,21.8,22.9,23.5,23.9,23.2,24.9,25.8,26.5,26.8,26.7,27.1,27.3,27.9,27.9,27.8,27.8,27.7,28.5,28.2,28.5,28.3,29.3,29.6,30.3,31.0,32.1,33.5,35.0,36.4,37.7,38.8,39.4,39.2,38.4,38.0,38.0,38.9,41.9,43.9,45.8,47.9,48.6,49.9,51.5,52.8,54.6,56.1,59.0,61.6,63.6,65.9,67.9,70.8,74.3,77.3,75.8,76.5,79.2,82.6,85.9,87.8,87.6,87.2,88.2,90.9,93.4,95.2,97.7,99.3,100.4,101.7,102.0,104.0,108.8,111.1,112.6,114.4,120.6,122.7,121.8,119.3,116.6,116.3,120.2,126.3,133.5,141.0,150.0,157.6,169.0,177.3,182.1,188.9,193.2,194.0,195.8,191.3,197.7,201.9,204.4,204.5,203.4,205.8,207.4,209.5,212.9,217.2,223.8,232.8,246.0,255.5,263.2,269.5,272.3,278.3,286.4,297.1,306.8,319.2,330.0,339.4,347.0,355.5,364.2,373.0,385.8,389.6,388.7,382.5,371.0,368.3,373.7,388.4,403.0,414.8,419.1,415.5,408.4,402.3,399.5,401.4,418.8,428.7,429.4,433.1,441.4,433.6,452.8,492.4,533.8,562.5,564.8,658.3,554.2,568.1,572.3,622.4,678.2,710.1,724.9,750.1,781.5,823.9,835.2,832.6,895.5,869.1,825.8,775.0,713.6,639.2,599.0,587.1,587.7,610.0,651.0,695.2,744.4,766.2,807.2,834.3,881.3,900.1,903.8,1096.1,860.3,1118.6,947.7,1062.6,1023.5,1060.7,1061.4,1094.0,1115.7,1096.5,1122.3,1180.3,1132.2,1124.1,1145.1,1156.2,1216.8,1264.6,1267.2,1266.8,1265.1,1289.0,1336.3,1389.3,1381.8,1423.1,1425.0,1437.5,1460.7,1454.0,1479.5,1592.7,1656.4,1788.0,1880.2,1939.4,1948.6,1947.2,1895.7,1896.0,1913.8,1943.1,1934.2,1960.8,1995.8,1996.0
cpwi,10.0,13.6,13.9,14.5,18.0,19.1,18.8,20.7,20.2,19.1,20.0,16.9,16.6,17.8,18.7,20.2,14.7,18.6,21.2,21.1,20.5,19.8,19.8,22.2,22.1,21.1,20.4,17.8,20.4,21.2,22.2,24.6,27.7,28.7,28.3,28.8,27.7,27.5,28.6,28.4,29.3,28.9,28.5,26.3,23.1,23.9,25.9,28.7,31.5,34.1,32.1,33.1,34.4,32.7,32.7,31.4,30.3,33.1,34.5,37.1,39.4,39.7,40.7,43.2,43.5,44.8,45.5,46.2,50.7,50.9,51.5,51.5,57.5,58.8,59.5,62.3,64.7,63.7,62.7,64.5,62.7,61.8,62.6,64.4,61.7,65.1,65.5,66.1,64.8,62.9,61.4,56.8,53.6,57.3,56.2,52.8,62.2,63.4,66.9,70.8,74.4,76.0,79.4,82.7,87.5,85.2,89.0,89.3,85.7,82.3,72.8,73.2,79.4,87.5,97.7,105.7,114.3,113.8,115.8,115.9,121.2,136.5,148.8,142.6,143.7,159.7,166.0,173.4,168.1,170.3,169.3,166.2,152.0,141.8,141.9,154.8,165.0,170.2,184.4,182.6,169.2,181.4,178.3,176.9,192.2,207.3,215.5,231.0,247.3,250.5,258.4,266.9,266.4,271.5,282.5,265.4,250.7,236.4,225.0,214.7,228.2,253.0,272.0,279.2,284.2,290.0,287.3,306.4,290.0,297.4,302.6,287.1,301.0,314.9,283.6,290.5,331.0,331.8,329.4,331.5,349.0,351.1,342.8,354.7,347.6,363.5,386.1,405.5,436.7,452.4,471.0,485.6,483.0,511.5,538.9,555.5,582.8,584.8,591.0,610.2,638.5,658.4,683.4,680.2,615.1,616.7,619.7,602.0,650.0,647.4,628.6,631.5,602.7,595.9,599.3,574.0,593.4,625.4,610.4,639.0,722.7,747.8,772.2,836.0,807.3,847.6,880.0,918.4,1017.2,1029.6,1071.4,1049.9,1104.4,1133.1,1155.6,1208.1,1254.4,1258.6,1288.1,1262.7,1168.8,1241.9,1213.2,1192.2,1156.2,1142.8,1160.6,899.1,1125.5,1126.6,1286.1,1348.6,1428.3,1423.0,1571.1,1586.4,1435.0,1557.7,1615.9,1718.0,1758.7,1729.4,1705.3,1699.2,1699.6,1703.3,1720.4,1751.5,1652.6,1801.8,1889.0,1880.3,1826.6,1799.6,1780.3,1701.5,1777.5,1733.1,1754.8,1807.7,1911.4,1896.9,1927.0,1977.1,2028.4,2071.0,2072.0,2099.6,2133.3,2160.7,2204.9,2197.6,1993.7,1821.9,2407.4,2175.0,2476.9,2679.4,2660.6,2636.6,2566.3,2728.1,2845.7,2809.9,2796.8,2835.5,2953.0,3101.8,3036.7,3141.6
cp,22.0,20.8,20.6,22.5,23.7,24.9,24.6,23.8,21.7,19.2,19.8,19.5,20.0,23.8,28.8,31.6,26.3,22.6,20.8,22.6,22.1,21.3,21.6,23.8,24.6,24.7,24.2,19.4,21.9,22.5,23.8,25.5,28.6,29.1,29.8,31.1,30.6,31.4,30.2,31.9,32.2,30.9,30.3,27.9,24.2,24.6,27.1,30.5,32.7,35.4,32.4,32.0,34.6,32.3,31.0,29.9,29.2,30.7,32.3,34.6,35.2,35.2,36.2,37.1,36.7,38.7,39.7,40.7,44.4,44.4,45.5,45.2,50.7,52.6,53.5,56.6,58.1,58.6,58.4,57.5,55.2,55.3,56.5,59.5,58.8,60.5,61.0,62.6,62.0,60.3,58.6,57.8,55.3,55.2,56.1,53.4,60.2,62.4,66.5,68.7,72.8,73.8,77.0,83.5,95.5,99.0,101.2,106.3,112.7,115.5,121.1,107.9,94.7,99.4,115.8,124.1,132.7,136.6,138.8,139.1,149.8,158.8,165.1,166.2,171.9,190.7,197.7,209.9,212.8,221.2,226.0,222.5,223.2,194.4,201.7,208.0,212.0,200.1,205.1,201.7,181.5,183.3,178.6,172.4,174.0,193.3,204.7,210.4,219.2,220.4,211.8,213.1,203.8,204.6,208.3,209.8,174.7,171.2,170.9,177.3,191.7,220.6,235.7,243.7,252.2,266.6,265.9,278.8,278.6,273.2,262.8,263.0,272.8,285.0,289.2,288.3,299.5,304.6,310.4,316.1,329.8,344.6,328.7,336.1,334.6,349.0,362.1,382.4,413.3,427.5,449.5,463.1,477.5,501.3,509.3,517.0,537.2,540.3,537.3,550.9,564.4,584.5,608.2,611.9,539.2,538.4,535.3,519.1,552.5,568.6,569.3,591.0,565.0,559.3,554.2,533.4,562.9,581.8,532.1,512.7,558.5,614.6,669.5,742.3,739.5,742.6,785.0,840.2,954.8,997.2,1042.5,1045.7,1266.4,1292.7,1339.2,1407.5,1433.4,1472.8,1495.3,1452.3,1384.4,1462.5,1409.7,1433.0,1325.6,1348.0,1284.4,773.3,1125.9,1199.4,1382.4,1499.3,1571.0,1560.8,1646.5,1647.5,1513.8,1580.1,1592.2,1671.6,1936.5,1860.1,1878.6,1848.0,1831.3,1823.8,1862.6,1913.3,1848.2,1952.6,2011.0,1977.7,1877.0,1898.9,1843.0,1746.7,1805.9,1865.4,1857.5,1926.8,2045.7,2019.9,2061.5,1864.8,1987.0,2063.3,2014.3,2016.0,2045.1,2059.3,2087.8,2120.9,2023.2,1871.8,2553.8,2398.0,2716.5,2996.3,2952.8,2886.7,2898.2,3084.1,2985.4,2834.6,2931.2,2989.2,3115.0,3239.6,3314.9,3413.0
discrepancy,3.1,2.8,2.0,3.6,0.7,-1.1,0.3,-0.9,0.9,0.7,2.0,3.4,3.3,0.5,0.6,0.6,3.5,3.4,4.6,2.3,3.8,2.4,1.7,2.5,2.9,3.2,3.6,5.4,2.8,2.5,3.4,2.9,3.4,1.8,2.0,1.3,-0.8,-1.7,-2.6,-3.1,-1.3,-1.9,0.7,1.2,-0.6,1.1,1.0,1.1,0.2,-2.2,2.5,0.4,0.5,-2.3,0.3,-3.7,-1.2,-1.2,0.5,-1.8,1.5,0.3,1.6,-3.5,-2.2,-4.3,1.0,-0.4,2.5,-0.1,0.9,-3.6,-2.4,-2.5,3.4,4.4,6.4,3.9,5.2,4.8,7.4,3.3,2.5,0.3,5.3,6.9,1.5,-1.2,4.6,1.6,1.5,-1.4,4.1,5.5,6.6,5.1,13.3,12.3,12.2,0.3,5.0,17.3,8.9,-2.5,6.7,14.4,2.5,1.1,0.1,9.7,3.6,16.5,15.4,13.9,9.0,15.1,18.7,20.9,17.4,25.6,27.7,20.7,20.6,8.7,2.8,22.0,29.2,39.3,24.8,41.0,58.4,55.8,67.8,55.7,32.7,20.9,59.3,35.4,28.8,27.3,2.2,5.2,5.5,21.7,30.6,52.2,75.6,69.0,41.9,46.8,43.9,33.2,39.1,46.5,61.0,69.6,68.3,76.6,92.4,82.1,69.7,46.8,19.4,38.6,5.2,13.6,-2.7,-4.8,17.3,69.9,89.2,94.9,104.9,95.1,104.1,77.3,62.1,92.4,107.8,108.6,78.4,95.4,139.6,148.6,183.5,144.7,165.0,128.6,159.4,148.7,125.2,123.6,120.3,100.0,72.6,75.6,48.2,65.6,64.6,49.7,12.7,44.0,13.9,-29.6,-27.9,-76.8,-89.7,-31.2,-74.4,-41.6,-9.2,8.0,-153.9,-39.6,-124.2,-65.3,-209.2,-133.1,-120.7,-4.0,-43.3,-79.9,-67.7,-135.8,-71.7,-64.3,1.3,37.9,7.4,-35.7,-70.8,-13.4,17.2,-42.1,-37.9,-165.2,-196.7,-219.7,-254.8,-167.9,-126.3,-109.3,99.0,185.8,132.5,247.8,188.0,196.5,268.4,192.9,185.2,120.4,112.1,114.5,5.4,45.8,-7.5,-15.5,-52.6,-21.5,-206.0,-172.5,-9.7,-226.3,-63.3,-120.1,6.9,57.4,-115.6,-134.2,-124.7,-189.2,-149.4,-101.3,-59.1,-62.0,-66.1,81.3,91.8,104.7,43.1,32.7,91.0,104.9,123.6,110.7,37.9,-18.4,-99.7,28.5,159.5,139.8,-32.5,145.5,422.6,-105.1,-29.8,30.0,-25.7,31.8,-139.7,-106.9,-182.7,126.9,199.9,224.5,339.8,214.3,124.9,96.6
