ps,4.0,3.3,2.8,-0.1,-0.3,0.9,3.0,4.8,4.9,2.0,3.9,5.3,13.3,31.9,38.6,42.4,35.2,19.6,11.0,17.2,13.6,20.0,25.9,27.8,29.2,28.1,28.2,34.7,36.9,38.8,37.2,37.9,44.4,46.7,47.1,55.3,58.8,61.9,73.0,72.9,76.1,97.6,111.9,111.5,135.8,146.3,164.0,154.4,155.9,175.1,186.8,224.9,263.6,291.2,264.7,326.3,282.9,288.7,260.6,317.1,335.4,360.6,401.0,450.5,392.6,357.2,379.0,369.9,371.8,424.6,315.8,316.8,363.2,451.6,439.9,417.0,209.2,276.0,263.4,451.5,624.9,671.4,776.3,976.5,615.7,712.0,790.6,746.2,841.6,996.7,1190.9,2678.6,2120.5,622.8,899.8
gs,2.1,1.1,-1.6,-1.2,-1.0,-1.5,-1.3,-1.5,1.6,-0.1,-0.9,0.6,2.2,-10.3,-16.0,-28.3,-30.9,-7.3,2.5,1.0,-8.0,2.2,6.1,-0.2,-1.8,-6.0,1.6,4.4,0.0,-10.9,-1.8,2.7,-2.5,-2.3,1.1,-3.0,-1.9,-2.3,-15.5,-10.3,-2.0,-33.4,-52.2,-42.9,-32.7,-43.7,-108.6,-85.3,-72.9,-57.2,-48.6,-94.7,-98.2,-190.1,-225.6,-196.7,-201.7,-219.9,-180.1,-171.3,-178.7,-239.5,-308.5,-405.6,-386.2,-319.9,-312.9,-233.6,-134.4,-29.3,29.5,118.2,-104.7,-451.4,-579.4,-543.3,-397.4,-307.9,-390.0,-847.0,-1585.5,-1627.3,-1511.2,-1357.5,-899.9,-831.6,-774.0,-909.5,-961.6,-1106.2,-1250.3,-2946.3,-2496.6,-1001.9,-1814.3
ni,9.7,4.5,0.1,-4.3,-3.7,-1.5,1.7,4.8,7.1,2.2,4.7,8.4,18.1,25.8,29.3,26.0,14.6,12.1,13.7,27.5,18.1,34.6,44.6,41.3,43.6,37.5,49.2,50.7,47.8,41.1,56.1,54.6,55.9,65.5,69.7,76.2,89.5,102.4,96.8,102.8,108.2,93.0,106.4,127.8,153.9,143.8,103.1,152.6,199.9,256.7,285.9,237.6,291.3,201.0,246.1,414.9,409.4,401.9,416.4,410.9,431.9,395.3,306.0,348.9,395.2,495.0,502.8,576.7,682.9,770.9,856.6,916.0,747.2,716.1,772.2,945.6,1077.0,1127.7,1012.3,748.2,201.3,419.6,494.8,667.2,758.6,860.6,995.0,919.9,1000.1,1142.8,1187.5,939.3,1169.7,1333.5,1250.6
fi,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.8,2.9,2.6,4.5,5.6,4.0,3.5,2.6,2.5,2.3,2.6,2.5,2.4,2.4,4.4,4.1,4.2,4.4,4.5,4.4,4.7,5.1,5.5,5.9,5.9,6.6,7.9,9.2,7.9,8.7,9.1,8.1,8.1,8.8,10.6,12.6,17.0,19.8,20.5,23.6,25.7,27.8,26.8,29.0,30.4,31.7,-4.9,41.9,45.4,46.1,44.1,49.5,51.4,60.0,85.7,95.4,110.2,118.3,130.1,144.9,156.1,154.2,175.5,198.0,204.3,209.9,224.7,221.8,233.9,247.2,257.0,276.1,293.4,292.3,313.8,330.7,353.4,390.6,389.2
cpwi,9.5,6.7,2.5,-0.6,-0.7,1.8,3.1,4.8,5.6,4.0,5.2,7.0,8.1,9.4,10.8,12.0,9.8,9.1,13.0,19.1,19.0,18.3,18.9,20.6,20.4,22.1,28.4,28.1,28.3,25.4,32.7,32.8,33.7,40.7,45.0,51.1,59.5,63.9,62.9,64.6,61.5,55.0,65.8,78.1,87.8,78.5,92.6,114.9,137.3,160.7,168.5,147.6,175.6,176.5,211.5,255.8,271.5,231.7,258.1,292.0,294.3,297.5,330.9,349.4,375.7,461.4,522.2,592.2,665.1,613.4,639.4,593.0,617.0,769.7,863.3,1042.0,1150.3,1266.0,1204.0,1089.7,1221.7,1502.2,1581.7,1723.1,1718.7,1805.9,1777.0,1768.3,1928.1,2067.7,2172.9,2075.8,2518.1,2666.3,2672.9
nd,5.8,5.5,4.1,2.5,2.0,2.6,2.8,4.5,4.7,3.2,3.8,4.0,4.4,4.3,4.4,4.6,4.6,5.6,6.4,7.2,7.4,9.0,8.8,8.9,9.2,9.6,10.7,11.7,12.3,12.1,13.5,14.3,14.6,15.8,17.1,19.8,21.5,22.3,23.4,26.0,27.3,27.8,28.4,30.1,34.2,38.8,38.3,44.9,50.7,57.8,67.0,76.0,83.9,88.5,96.4,102.0,111.7,121.1,119.9,145.5,179.3,193.6,202.1,206.5,221.7,258.6,283.5,323.9,359.9,386.6,375.4,413.1,402.9,427.5,455.0,579.8,579.3,715.8,818.3,841.4,634.7,636.0,788.0,945.3,997.3,1059.9,1128.7,1139.4,1253.9,1319.9,1416.8,1496.7,1814.7,1887.3,1848.8
cp,9.5,3.7,0.1,-1.7,1.3,2.5,3.4,5.7,6.1,3.6,6.3,7.8,11.2,11.1,11.8,11.8,9.7,16.5,21.4,24.2,20.0,26.1,23.1,22.2,23.2,23.4,29.7,31.0,30.3,26.6,33.1,32.0,31.7,35.9,38.9,44.9,53.3,58.2,56.6,60.7,59.7,55.0,64.5,76.8,100.5,114.3,108.5,136.8,160.0,192.6,220.6,206.8,204.7,178.9,195.6,216.2,206.6,173.5,222.9,265.9,269.4,283.8,307.7,334.8,357.0,438.4,501.3,541.4,592.3,533.0,570.3,553.0,547.4,646.2,776.8,1010.0,1326.5,1463.5,1422.4,1182.8,1301.7,1606.4,1589.4,1880.8,1857.7,1947.4,1841.4,1863.9,1998.0,2020.1,2077.6,2187.4,2844.5,2980.5,2974.5
